Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
13.9570000000	0.800000000000	77.6549209305	0.0128774839768	-55.4528160630	-45.1508288816	-3.17798211663	5.17941880225	6.93283129013	1293.71467994	-1.59760671050	2.70297792772e-05	0.0981344872314	liquid
14.2670716667	0.800000000000	77.4121060457	0.0129178761705	-53.3250497764	-42.9907488399	-3.02491226989	5.18678841963	7.00282402875	1287.90885002	-1.57678086738	2.59903406925e-05	0.0986762214794	liquid
14.5771433333	0.800000000000	77.1661793427	0.0129590451221	-51.1737987076	-40.8065626099	-2.87346260869	5.20421408912	7.08749674223	1281.97322850	-1.55265676039	2.50236222820e-05	0.0991969723812	liquid
14.8872150000	0.800000000000	76.9168821935	0.0130010469936	-48.9952430603	-38.5944054654	-2.72330240428	5.22781300561	7.18265477171	1275.95724390	-1.52639882378	2.41213547535e-05	0.0996965872344	liquid
15.1972866667	0.800000000000	76.6639856144	0.0130439344105	-46.7866600152	-36.3515124868	-2.57419455360	5.25490989671	7.28533778685	1269.88633976	-1.49881929620	2.32765769811e-05	0.100174926129	liquid
15.5073583333	0.800000000000	76.4072859128	0.0130877571171	-44.5460937123	-34.0758880187	-2.42596646829	5.28370559775	7.39349754243	1263.76948751	-1.47046779433	2.24833864089e-05	0.100631863621	liquid
15.8174300000	0.800000000000	76.1466001831	0.0131325626830	-42.2721127559	-31.7660626096	-2.27848943533	5.31302779536	7.50575291338	1257.60496345	-1.44170427515	2.17367409990e-05	0.101067289028	liquid
16.1275016667	0.800000000000	75.8817619654	0.0131783972077	-39.9636338391	-29.4209160729	-2.13166412390	5.34214582271	7.62120586805	1251.38454377	-1.41275510406	2.10323018420e-05	0.101481105787	liquid
16.4375733333	0.800000000000	75.6126172292	0.0132253059958	-37.6197947598	-27.0395499631	-1.98541050941	5.37063461694	7.73930470396	1245.09642123	-1.38375451023	2.03663077932e-05	0.101873230173	liquid
16.7476450000	0.800000000000	75.3390207536	0.0132733341899	-35.2398639464	-24.6211965945	-1.83966094308	5.39827592660	7.85974346121	1238.72715635	-1.35477439886	1.97354753215e-05	0.102243589616	liquid
