Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Thermal Expansion Coefficient (l, 1/K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)	Thermal Expansion Coefficient (v, 1/K)
13.9570000000	0.00735781734538	77.0036760614	0.0129863930029	-54.0215262433	-53.9259747356	-3.07231890760	5.16158416384	7.02120981447	1269.16393743	-1.57576407559	2.55865952821e-05	0.0975607775548	0.00303236581057	0.0106075105	0.129853452821	7.70098890920	343.163169711	399.825639484	29.4383649227	6.24324750325	10.5643621340	307.143212043	29.2212755973	6.45252995085e-07	0.0106009894328	0.0745207636
14.0570000000	0.00779016743082	76.9221924749	0.0130001494735	-53.3191766366	-53.2179032956	-3.02216859847	5.16406618274	7.04493348314	1267.09150190	-1.56873219965	2.52630573904e-05	0.0977278650467	0.00301473848111	0.0106627033	0.136596031108	7.32085692309	343.719084238	400.749785407	29.2726090001	6.24700940232	10.5766091504	308.118435798	28.9416983743	6.50780083421e-07	0.0106955663227	0.0741134476
14.1570000000	0.00824184360560	76.8403838445	0.0130139901699	-52.6144150593	-52.5071557877	-2.97220234244	5.16786084621	7.07053456195	1265.00363418	-1.56127307105	2.49472204016e-05	0.0978927615455	0.00299711438839	0.0107195237	0.143592613345	6.96414653027	344.272984301	401.670390850	29.1092800788	6.25076172441	10.5890773744	309.086493000	28.6661217291	6.56301546156e-07	0.0107903720630	0.0737152800
14.2570000000	0.00871341642813	76.7582398389	0.0130279172907	-51.9070664575	-51.7935487889	-2.92240520002	5.17278499388	7.09781782001	1262.90311856	-1.55344027134	2.46387716469e-05	0.0980554615339	0.00297949358693	0.0107779253	0.150848869804	6.62915142354	344.824828110	402.587385029	28.9483203255	6.25449903835	10.6017658017	310.047448890	28.3946746425	6.61817539648e-07	0.0108854138424	0.0733261270
14.3570000000	0.00920546300804	76.6757505525	0.0130419329813	-51.1969743886	-51.0769173570	-2.87276384491	5.17867537660	7.12660804064	1260.79231057	-1.54528193109	2.43374165251e-05	0.0982159596186	0.00296187613210	0.0108378631	0.158370496367	6.31430741799	345.374572983	403.500696341	28.7896735514	6.25821637120	10.6146740160	311.001366370	28.1274604043	6.67328222699e-07	0.0109806988833	0.0729458592
14.4570000000	0.00971856686733	76.5929064938	0.0130560393355	-50.4839991137	-50.3571131224	-2.82326638663	5.18538679493	7.15674824171	1258.67317660	-1.53684112377	2.40428772591e-05	0.0983742505479	0.00294426208009	0.0108992936	0.166163214119	6.01817920594	345.922175378	404.410252410	28.6332851478	6.26190921037	10.6278021868	311.948305876	27.8645588696	6.72833756445e-07	0.0110762344415	0.0725743523
14.5570000000	0.0102533178035	76.5096985710	0.0130702383969	-49.7680158592	-49.6340025511	-2.77390221118	5.19279038802	7.18809803357	1256.54733247	-1.52815625997	2.37548917441e-05	0.0985303292276	0.00292665148800	0.0109621752	0.174232769011	5.73944847273	346.467590915	405.315980123	28.4791020255	6.26557350273	10.6411510648	312.888325282	27.6060285861	6.78334304262e-07	0.0111720278052	0.0722114862
14.6570000000	0.0108103117523	76.4261180775	0.0130845321620	-49.0489132374	-48.9074653656	-2.72466183782	5.20077206332	7.22053210660	1254.41608022	-1.51926147424	2.34732124790e-05	0.0986841907338	0.00290904441377	0.0110264680	0.182584931609	5.47690322080	347.010774415	406.217805669	28.3270725576	6.26920565129	10.6547219749	313.821479822	27.3519087962	6.83830031684e-07	0.0112680862943	0.0718571451
14.7570000000	0.0113901506525	76.3421566760	0.0130989225815	-48.3265918118	-48.1773931103	-2.67553679073	5.20923105790	7.25393884041	1252.28044276	-1.51018699865	2.31976055763e-05	0.0988358303230	0.00289144091628	0.0110921344	0.191225496914	5.22942816800	347.551679926	407.115654586	28.1771465254	6.27280250941	10.6685168066	314.747822025	27.1022213120	6.89321106336e-07	0.0113644172596	0.0715112175
14.8570000000	0.0119934423111	76.2578063815	0.0131134115634	-47.6009627962	-47.4436878511	-2.62651948387	5.21807862232	7.28821902701	1250.14119627	-1.50095951900	2.29278498435e-05	0.0989852434401	0.00287384105531	0.0111591386	0.200160284256	4.99599610242	348.090260762	408.009451803	28.0292750678	6.27636137292	10.6825380023	315.667401685	26.8569722693	6.94807697885e-07	0.0114610280827	0.0711735957
